cityName,country,lat,lng,temp,humidity,cloudiness,winds
songjianghe,CN,42.1859,127.479,56.73,96,0,2.86
adamstown,PN,-25.066,-130.1015,70.21,86,99,9.46
san vicente de canete,PE,-13.0751,-76.3835,70.2,71,36,10.04
papatowai,NZ,-46.5619,169.4708,40.69,93,56,7.96
rikaze,CN,29.25,88.8833,54.39,49,66,4.74
isafjordur,IS,66.0755,-23.124,53.64,58,75,14.97
west island,CC,-12.1568,96.8225,76.98,73,75,13.8
vernon,CA,50.2581,-119.2691,72.93,46,62,1.14
qaqortoq,GL,60.7167,-46.0333,42.53,92,100,10.89
waitangi,NZ,-43.9535,-176.5597,46.81,60,100,0.16
shimoda,JP,34.6667,138.95,76.1,89,9,4.54
bangassou,CF,4.7413,22.8184,70.14,95,100,2.98
georgetown,MY,5.4112,100.3354,75.88,97,20,0.0
avarua,CK,-21.2078,-159.775,73.45,68,7,13.8
port lincoln,AU,-34.7333,135.8667,50.95,66,72,9.57
invercargill,NZ,-46.4,168.35,38.01,98,21,4.09
vapnyarka,UA,48.5348,28.7436,63.88,82,100,13.96
sur,OM,22.5667,59.5289,85.3,63,0,13.47
longyearbyen,SJ,78.2186,15.6401,44.44,93,100,2.3
saipan,MP,15.1355,145.701,81.3,89,0,4.61
atafu village,TK,-8.5421,-172.5159,82.63,75,10,12.71
east london,ZA,-33.0153,27.9116,64.02,76,100,7.49
puerto natales,CL,-51.7236,-72.4875,40.64,54,26,4.85
margaret river,AU,-33.95,115.0667,58.86,77,100,19.15
kodiak,US,57.79,-152.4072,60.31,63,0,17.27
sultanah,SA,24.4926,39.5857,104.45,12,75,6.91
walvis bay,NA,-22.9575,14.5053,55.09,61,10,21.72
sao felix do xingu,BR,-6.6447,-51.995,102.18,17,0,2.46
sinabang,ID,2.4803,96.3801,77.54,88,100,5.23
badger,US,64.8,-147.5333,50.67,91,100,8.05
blackmans bay,AU,-43.0167,147.3167,41.68,87,100,2.08
port-aux-francais,TF,-49.35,70.2167,35.87,68,90,31.29
vorgashor,RU,67.5833,63.95,47.61,73,9,6.53
mindelo,CV,16.8901,-24.9804,83.75,70,40,17.27
san patricio,US,28.017,-97.5169,94.71,42,4,16.87
plastun,RU,44.7561,136.2939,59.45,94,46,1.77
ilulissat,GL,69.2167,-51.1,42.82,65,75,5.75
tura,IN,25.5198,90.2201,77.11,96,100,1.68
gaspe,CA,48.8334,-64.4819,73.62,73,20,13.8
san andres,CO,12.5847,-81.7006,87.82,74,40,9.22
maumere,ID,-8.6199,122.2111,74.64,78,72,5.35
grytviken,GS,-54.2811,-36.5092,22.59,76,5,8.14
kouroussa,GN,10.65,-9.8833,74.1,94,100,4.94
oum hadjer,TD,13.2954,19.6966,85.39,54,63,10.38
nadi,FJ,-17.8,177.4167,71.6,83,20,2.3
tangalle,LK,6.024,80.7911,76.78,90,100,11.83
dapa,PH,9.7594,126.0531,82.22,80,100,4.63
klyuchi,RU,52.2667,79.1667,53.33,88,100,3.89
lorengau,PG,-2.0226,147.2712,80.87,81,98,10.07
grivenskaya,RU,45.6473,38.176,73.09,54,81,10.76
paris,FR,48.8534,2.3488,77.97,56,0,10.36
selfoss,IS,63.9331,-20.9971,50.04,78,12,15.43
dubinino,RU,55.6192,89.0911,57.18,85,100,7.54
albertina,BR,-22.2008,-46.6158,83.89,41,86,6.24
chibougamau,CA,49.9168,-74.3659,76.62,41,0,3.44
yellowknife,CA,62.456,-114.3525,52.32,61,40,9.22
nouadhibou,MR,20.931,-17.0347,78.78,65,55,21.85
hawaiian paradise park,US,19.5933,-154.9731,79.56,75,20,5.75
ola,RU,59.5833,151.2833,45.28,80,60,0.6
stanley,GB,54.868,-1.6985,66.99,76,0,2.3
rach gia,VN,10.0167,105.0833,79.93,86,100,16.46
ciudad bolivar,VE,8.1222,-63.5497,99.27,29,47,4.94
lusambo,CD,-4.9667,23.45,70.21,96,100,1.43
talnakh,RU,69.4865,88.3972,34.21,83,100,7.52
iwanai,JP,42.9744,140.5089,72.52,97,100,1.7
olonkinbyen,SJ,70.9221,-8.7187,41.13,93,100,14.0
canico,PT,32.6333,-16.85,77.79,73,40,5.75
usinsk,RU,65.9939,57.5281,52.12,73,1,9.86
ribeira grande,PT,38.5167,-28.7,75.6,64,40,13.8
sovetskaya gavan',RU,48.9723,140.2878,59.88,95,100,4.25
ushuaia,AR,-54.8,-68.3,35.26,87,75,14.97
udachny,RU,66.4167,112.4,35.46,93,100,4.56
hamilton,US,39.1834,-84.5333,90.84,45,20,8.05
aasiaat,GL,68.7098,-52.8699,36.34,80,100,10.74
orenburg,RU,51.7727,55.0988,59.02,48,2,3.56
nouna,BF,12.7333,-3.8667,81.99,68,80,5.08
mount pearl,CA,47.5166,-52.7813,66.9,75,75,8.05
katsuura,JP,35.1333,140.3,78.62,91,8,7.29
berezovyy,RU,51.6667,135.7,53.83,96,47,3.11
mil'kovo,RU,55.6078,37.7956,59.86,65,60,5.21
fort bragg,US,35.139,-79.006,93.63,43,0,10.36
matanzas,CU,23.0411,-81.5775,88.56,70,40,9.22
labytnangi,RU,66.6572,66.4183,46.78,76,68,3.09
kingman,US,35.1894,-114.053,81.54,28,0,3.44
pasni,PK,25.2631,63.471,79.21,87,0,14.27
petropavlovsk-kamchatsky,RU,53.0452,158.6483,43.39,87,0,15.66
santa ana,US,33.7456,-117.8678,76.01,63,75,6.91
velikiye luki,RU,56.34,30.5452,55.69,75,16,2.35
galveston,US,29.3669,-94.9669,91.89,65,0,16.11
carnarvon,AU,-24.8667,113.6333,62.73,75,0,17.63
la ronge,CA,55.1001,-105.2842,61.05,55,100,14.97
taro,ID,-8.3862,115.28,67.86,93,75,2.04
iskateley,RU,67.6803,53.1512,58.71,79,0,13.53
priozersk,RU,61.0393,30.1291,59.09,91,92,8.59
mount isa,AU,-20.7333,139.5,55.17,71,40,0.0
angaur state,PW,6.906,134.13,78.76,86,100,8.59
iwase,JP,36.35,140.1,76.78,96,10,0.83
pimentel,PE,-6.8367,-79.9342,77.29,65,0,17.27
nueva gerona,CU,21.8833,-82.8,87.91,65,78,14.03
wailua homesteads,US,22.0669,-159.378,78.04,82,75,5.75
san angelo,US,31.4638,-100.437,101.05,24,0,8.05
tiksi,RU,71.6872,128.8694,29.55,81,39,1.97
bamboo flat,IN,11.7,92.7167,77.09,94,100,10.36
keflavik,IS,64.0049,-22.5624,50.43,81,75,17.27
puerto ayora,EC,-0.7393,-90.3518,77.56,91,75,8.01
port mathurin,MU,-19.6833,63.4167,72.79,69,0,20.36
santa isabel,BR,-23.3156,-46.2214,89.37,42,81,7.25
bethel,US,41.3712,-73.414,86.5,64,75,6.91
albany,US,42.6001,-73.9662,85.87,60,86,7.23
bilibino,RU,68.0546,166.4372,32.43,82,100,6.31
mbandaka,CD,0.0487,18.2603,69.04,91,84,1.95
enewetak,MH,11.3474,162.3373,82.81,77,85,5.01
hilo,US,19.7297,-155.09,80.2,74,20,7.0
manaure,CO,11.7751,-72.4445,87.17,67,42,16.84
sanibel,US,26.449,-82.0223,90.64,59,100,5.99
nuuk,GL,64.1835,-51.7216,43.88,93,100,41.0
iqaluit,CA,63.7506,-68.5145,38.7,100,100,5.75
ketchikan,US,55.3422,-131.6461,55.87,88,100,8.05
suva,FJ,-18.1416,178.4415,71.08,100,40,2.3
horta,PT,38.5333,-28.6333,74.01,73,40,13.8
uige,AO,-7.6087,15.0613,69.35,78,12,4.36
port elizabeth,ZA,-33.918,25.5701,57.49,82,75,3.44
jiexiu,CN,37.0244,111.9125,70.16,73,0,2.13
el granada,US,37.5027,-122.4694,68.07,76,100,14.97
bredasdorp,ZA,-34.5322,20.0403,49.28,64,97,3.87
bodo,NO,67.28,14.405,51.33,92,75,23.02
flying fish cove,CX,-10.4217,105.6791,74.88,73,75,14.97
whitehorse,CA,60.7161,-135.0538,51.93,71,75,8.05
edinburgh of the seven seas,SH,-37.0676,-12.3116,55.9,80,35,22.97
vilyuchinsk,RU,52.9306,158.4028,44.26,83,81,9.91
revda,RU,56.801,59.9303,42.15,91,5,0.98
susuman,RU,62.7833,148.1667,32.52,74,30,3.36
mount pleasant,US,32.7941,-79.8626,89.35,55,0,8.05
vezirkopru,TR,41.1436,35.4547,70.29,90,15,3.4
prado,BR,-17.3411,-39.2208,77.04,65,5,8.57
filey,GB,54.21,-0.2892,64.65,79,0,15.01
uturoa,PF,-16.7333,-151.4333,76.98,83,39,16.46
lumut,MY,4.2323,100.6298,75.22,100,20,0.0
enriquillo,DO,17.9,-71.2333,89.28,66,100,7.38
saldanha,ZA,-33.0117,17.9442,46.45,65,93,9.57
namibe,AO,-15.1961,12.1522,64.56,91,62,11.36
fort st. john,CA,56.2499,-120.8529,49.89,66,20,4.61
labuan,MY,5.2767,115.2417,80.92,83,100,5.68
tralee,IE,52.2704,-9.7026,68.92,84,69,9.98
antsiranana,MG,-12.2787,49.2917,73.87,75,69,17.9
egremont,GB,54.4794,-3.5276,67.48,78,7,4.25
sarandi,BR,-23.4436,-51.8739,87.28,37,100,11.52
puerto baquerizo moreno,EC,-0.9,-89.6,81.59,69,40,14.97
coquimbo,CL,-29.9533,-71.3436,64.13,63,0,13.8
soe,ID,-9.8607,124.284,59.63,89,74,4.63
slave lake,CA,55.2834,-114.769,48.18,66,100,11.5
kachkanar,RU,58.7,59.4948,45.0,83,80,2.21
balykshi,KZ,47.0667,51.8667,66.2,34,0,6.71
hjo,SE,58.3013,14.2878,64.13,82,15,12.39
kapuskasing,CA,49.4169,-82.4331,84.2,45,20,4.61
klaksvik,FO,62.2266,-6.589,52.72,73,7,13.06
inirida,CO,3.8653,-67.9239,92.46,50,86,3.04
sakakah,SA,29.9697,40.2064,96.37,13,11,10.85
fisterra,ES,42.9049,-9.2629,65.26,84,100,12.91
zerbst,DE,51.9667,12.0833,65.53,69,5,6.53
dordrecht,NL,51.81,4.6736,69.57,75,100,4.0
port alfred,ZA,-33.5906,26.891,60.19,87,100,7.54
aykhal,RU,66.0,111.5,35.89,99,100,5.7
zakamensk,RU,50.3741,103.2863,51.06,77,93,1.01
thompson,CA,55.7435,-97.8558,57.36,94,100,3.44
arraial do cabo,BR,-22.9661,-42.0278,78.66,69,0,24.16
hermanus,ZA,-34.4187,19.2345,44.8,66,22,12.59
campos novos,BR,-27.4017,-51.225,71.4,88,92,9.91
jinghong,CN,21.991,100.7341,70.77,99,22,2.55
monte alegre,BR,-2.0078,-54.0692,97.41,30,0,7.16
ust'-ilimsk,RU,58.0006,102.6619,50.61,83,0,3.62
sandnessjoen,NO,66.0217,12.6316,53.71,66,75,13.8
dunedin,NZ,-45.8742,170.5036,48.79,81,90,8.99
hammerfest,NO,70.6634,23.6821,50.45,81,40,5.75
kailua-kona,US,19.6406,-155.9956,80.78,73,40,10.36
axim,GH,4.8699,-2.2405,76.57,89,100,7.65
andergrove,AU,-21.0833,149.1833,60.64,84,19,1.95
tikaitnagar,IN,26.95,81.5833,82.65,76,4,6.38
kete krachi,GH,7.7939,-0.0498,78.37,84,100,5.1
kollam,IN,8.8833,76.6,77.13,88,100,11.95
nova sintra,CV,14.8667,-24.7167,76.05,79,27,6.85
fale old settlement,TK,-9.3852,-171.2468,82.04,77,3,13.85
dahlonega,US,34.5326,-83.9849,87.85,59,5,4.81
jamestown,US,42.097,-79.2353,85.75,50,0,16.11
el abadia,DZ,36.2695,1.6861,78.33,62,5,6.53
oranjemund,NA,-28.55,16.4333,54.01,86,69,10.65
tazacorte,ES,28.629,-17.9293,75.15,81,40,8.01
salinopolis,BR,-0.6136,-47.3561,84.83,66,16,13.29
la passe,FR,45.5549,-0.8967,82.06,49,0,7.25
sisimiut,GL,66.9395,-53.6735,42.26,71,100,9.82
haiku-pauwela,US,20.9219,-156.3051,80.94,61,0,8.05
vadso,NO,70.0744,29.7487,44.76,93,0,2.3
maragogi,BR,-9.0122,-35.2225,78.28,78,18,10.98
impfondo,CG,1.6381,18.0667,70.14,98,100,2.95
lebu,CL,-37.6167,-73.65,50.38,59,100,5.84
akureyri,IS,65.6835,-18.0878,57.13,47,75,8.05
utrik,MH,11.2278,169.8474,83.44,80,69,15.66
holualoa,US,19.6228,-155.9522,77.07,73,40,10.36
severo-yeniseyskiy,RU,60.3725,93.0408,46.74,94,5,2.44
prymors'k,UA,46.7348,36.3443,65.86,83,100,22.48
igarka,RU,67.4667,86.5833,38.37,90,93,10.38
bosobolo,CD,4.1833,19.9,68.81,98,100,3.96
lagos,NG,6.5833,3.75,79.12,92,100,4.81
olyokminsk,RU,60.3736,120.4264,41.97,72,44,2.08
general roca,AR,-39.0333,-67.5833,54.63,36,100,16.06
alo,NG,7.4178,6.7371,72.77,97,100,2.59
mandalgovi,MN,45.7625,106.2708,63.86,58,16,8.55
saint-philippe,RE,-21.3585,55.7679,71.19,84,61,13.62
weno,FM,7.4515,151.8468,80.55,94,40,0.0
rongelap,MH,11.1635,166.8941,83.95,79,55,13.04
ugento,IT,39.9263,18.1574,73.6,53,3,26.44
quellon,CL,-43.1167,-73.6167,46.65,71,40,8.05
natchez,US,31.5604,-91.4032,93.42,52,0,6.91
kuta,ID,-8.7233,115.1723,75.0,88,40,2.3
port hedland,AU,-20.3167,118.5667,59.05,94,75,5.75
saint-joseph,RE,-21.3667,55.6167,69.6,81,50,11.95
new norfolk,AU,-42.7826,147.0587,43.41,93,100,1.99
formosa do rio preto,BR,-11.0483,-45.1931,96.1,19,1,8.41
hithadhoo,MV,-0.6,73.0833,82.76,72,100,11.59
bikenibeu village,KI,1.3673,173.1241,82.36,83,40,10.36
brady,US,31.1352,-99.3351,97.38,24,0,12.66
vilyuysk,RU,63.7553,121.6247,40.21,77,24,6.06
alaghsas,NE,17.0187,8.0168,86.74,39,99,8.16
yeppoon,AU,-23.1333,150.7333,56.98,88,21,7.81
hasaki,JP,35.7333,140.8333,75.7,90,34,6.13
bakchar,RU,57.0186,82.0711,52.39,99,100,4.56
wewak,PG,-3.5534,143.6268,76.37,89,41,6.67
kingston,JM,17.997,-76.7936,90.93,71,20,17.27
st. paul,US,44.9444,-93.0933,97.09,29,0,18.41
chonchi,CL,-42.6128,-73.8092,49.12,76,100,3.49
sao vicente,BR,-23.9631,-46.3919,89.28,38,0,15.99
nyachera,UG,-0.9,30.4167,67.6,69,15,3.18
lazaro cardenas,MX,17.9583,-102.2,87.15,60,100,3.89
port douglas,AU,-16.4833,145.4667,68.38,81,96,4.52
afaahiti,PF,-17.75,-149.2833,76.87,90,100,16.17
onguday,RU,50.75,86.15,52.63,87,100,1.7
ust'-kulom,RU,61.6864,53.6902,53.96,78,100,3.22
khandyga,RU,62.6667,135.6,40.66,75,85,2.01
melekeok village,PW,7.4957,134.6367,79.97,81,100,6.4
santa rita,BR,-7.1139,-34.9781,81.27,74,75,16.11
pokrovsk,UA,48.282,37.1758,67.48,65,100,0.92
ghormach,AF,35.7306,63.7826,72.43,26,0,11.56
chajari,AR,-30.7505,-57.9796,57.25,83,100,12.64
howrah,IN,22.5892,88.3103,80.6,94,75,5.75
inhambane,MZ,-23.865,35.3833,70.29,86,0,8.5
guerrero negro,MX,27.9769,-114.0611,74.44,63,2,19.35
ivdel',RU,60.6911,60.4206,44.22,82,71,3.62
fort-shevchenko,KZ,44.5086,50.263,77.81,39,1,14.12
tromso,NO,69.6496,18.957,46.38,87,100,17.27
kudahuvadhoo,MV,2.6708,72.8944,82.44,76,100,11.43
aldama,MX,22.9167,-98.0667,95.79,39,6,11.32
ulsteinvik,NO,62.3432,5.8487,60.57,94,100,11.01
egilsstadir,IS,65.2653,-14.3948,57.11,47,40,10.36
axum,ET,14.1245,38.7244,62.92,79,67,3.27
turkmenbasy,TM,40.0222,52.9552,74.17,27,0,4.61
nabire,ID,-3.3667,135.4833,75.11,92,96,3.49
bonthe,SL,7.5264,-12.505,76.64,91,100,11.54
college,US,64.8569,-147.8028,49.66,92,100,8.05
belmonte,BR,-15.8631,-38.8828,78.06,64,5,6.31
road town,VG,18.4167,-64.6167,89.64,100,40,9.22
kota belud,MY,6.351,116.4305,78.15,85,99,3.56
zaozersk,RU,69.4005,32.4476,46.9,90,46,5.26
tazovsky,RU,67.4667,78.7,40.55,88,30,6.44
mana,GF,5.6592,-53.7767,85.64,67,6,12.39
tionk essil,SN,12.7856,-16.5217,73.36,96,100,2.93
itoman,JP,26.1247,127.6694,80.6,83,12,4.61
freetown,SL,8.484,-13.2299,78.51,78,75,9.22
san antonio de pale,GQ,-1.4014,5.6325,74.84,87,67,11.48
villa gesell,AR,-37.2639,-56.973,50.05,64,100,24.58
manta,EC,-0.95,-80.7333,78.01,78,75,10.36
qamdo,CN,31.1667,97.2333,39.54,75,99,3.33
chui,UY,-33.6971,-53.4616,53.96,85,100,19.46
rio claro,BR,-22.4114,-47.5614,91.62,34,94,10.96
bardai,NG,11.65,7.2333,69.76,93,70,5.82
zvornik,BA,44.3869,19.1014,64.65,72,100,2.08
roma,US,43.2128,-75.4557,83.82,67,40,9.22
hafar al-batin,SA,28.4328,45.9708,95.58,16,0,0.0
minante segundo,PH,16.8994,121.7628,77.9,92,100,3.15
papao,PF,-17.75,-149.55,78.48,91,99,18.57
